"Name from Politicians.csv","Names from Html files"
"D Napoleon","Shri D. Napoleon","False"
"Sarvey Sathyanarayana","Shri Sathyanarayana Sarvey","False"
"Rajkumari Ratna Singh","Shri Andimuthu Raja","True"
"Kotla Jayasurya Prakasha Reddy","Shri Kotla Jaya Surya Prakash Reddy","False"
"Nama Nageswara Rao","Shri Nama Nageswara Rao","False"
"Shruti Choudhry","Smt. Shruti Choudhry","True"
"Rudramadhab Ray","Shri Rudra Madhab Ray","False"
"Kamal Kishor","Shri Kamal Kishor","True"
"Rakesh Sachan","Shri Rakesh Sachan","False"
"Sajjan Singh Verma","Shri Sajjan Singh Verma","False"
"Abdul Mannan Hossain","Shri Abdul Mannan Hossain","True"
"Manish Tewari","Shri Manish Tewari","False"
"Sushilkumar Sambhajirao Shinde","Shri Sushil Kumar Sambhajirao Shinde","False"
"Yashvir Singh","Shri Yashvir Singh","False"
"Deepa Dasmunsi","Smt. Deepa Dasmunsi","False"
"N. Peethambarakurup","Shri N. Peethambara Kurup","False"
"Meenakshi Natrajan","Km. Meenakshi Natrajan","False"
"Sai Prathap Annayyagari","Shri Sai Prathap Annayyagari","False"
"Vincent H Pala","Shri Vincent H Pala","False"
"A Sampath","Shri Anirudhan Sampath","False"
"Arjun Ram Meghwal","Shri Arjun Ram Meghwal","True"
"Kailash Joshi","Shri Kailash Joshi","False"
"Mangani Lal Mandal","Shri Mangani Lal Mandal","False"
"Yashwant Sinha","Shri Yashwant Sinha","False"
"Jayaram Pangi","Shri Jayaram Pangi","True"
"Putul Kumari","Smt.  Putul Kumari","False"
"Girija Vyas","Dr.(Kum.) Girija Vyas","False"
"Arvind Kumar Sharma","Dr. Arvind Kumar Sharma","False"
"Suresh Kashinath Taware","Shri Suresh Kashinath Taware","False"
"Om Prakash Yadav","Shri Om Prakash Yadav","False"
"Hari Manjhi","Shri Hari Manjhi","False"
"Suvendu Adhikari","Shri Suvendu Adhikari","False"
"P. C. Mohan","Shri P. C. Mohan","False"
"Nityananda Pradhan","Shri Nityananda Pradhan","False"
"Mohammed Azharuddin","Shri Mohammed Azharuddin","False"
"Basori Singh Masram","Shri Basori Singh Masram","False"
"Jagdambika Pal","Shri Jagdambika Pal","True"
"Bharat Ram Meghwal","Shri Bharat Ram Meghwal","False"
"Sadashivrao Dadoba Mandlik","Shri Sadashivrao Dadoba Mandlik","False"
"Neeraj Shekhar","Shri Neeraj Shekhar","True"
"R. K. Singh Patel","Shri R.K. Singh Patel","False"
"Ahir Vikrambhai Arjanbhai Madam","Shri Vikrambhai Arjanbhai Maadam","False"
"Modugula Venugopala Reddy","Shri Modugula Venugopala Reddy","False"
"Raju Shetti Alias Devappa Anna","Shri Raju alias Devappa Anna Shetti","True","Komatireddy Raj Gopal Reddy","Raju Shetti Alias Devappa Anna"
"Rajagopal Lagadapati","Shri Rajagopal Lagadapati","False"
"Naveen Jindal","Shri Naveen Jindal","False"
"Poonamben Veljibhai Jat","Smt. Poonam Veljibhai Jat","False"
